fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,15.22,1.66,2435,265,3.72,0.79,595,127,4.091397849462366,2.10126582278481,72.92,27.08
2,15.4,1.79,2464,287,3.61,0.61,577,98,4.265927977839335,2.9344262295081966,74.25,25.75
3,15.31,1.88,2449,301,3.74,0.51,599,81,4.093582887700535,3.6862745098039214,72.29,27.71
4,15.47,1.67,2475,267,3.57,0.71,571,113,4.333333333333334,2.352112676056338,72.95,27.05
5,15.11,2.0,2418,320,3.66,0.68,586,109,4.128415300546448,2.941176470588235,71.27,28.73
