fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,21.43,2.49,3429,399,4.41,0.9,706,144,4.859410430839002,2.766666666666667,76.22,23.78
2,20.71,2.55,3314,408,5.11,0.86,818,138,4.052837573385519,2.9651162790697674,73.83,26.17
3,20.01,3.01,3202,482,5.47,0.87,876,139,3.6581352833638032,3.4597701149425286,72.77,27.23
4,20.71,2.52,3314,403,5.21,0.81,833,130,3.9750479846449136,3.1111111111111107,74.01,25.99
5,20.9,2.48,3344,397,4.91,0.95,785,152,4.256619144602851,2.610526315789474,74.36,25.64
