fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,20.84,2.51,3335,402,5.27,1.31,843,210,3.9544592030360532,1.9160305343511448,74.62,25.38
2,20.94,3.09,3350,495,5.14,0.79,823,127,4.073929961089495,3.9113924050632907,76.1,23.9
3,21.12,2.72,3379,435,4.94,1.14,791,183,4.275303643724696,2.385964912280702,75.93,24.07
4,21.03,2.99,3365,479,5.08,0.81,813,130,4.139763779527559,3.691358024691358,76.3,23.7
5,21.43,2.62,3428,419,4.88,0.89,781,143,4.391393442622951,2.943820224719101,75.69,24.31
