fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,15.69,1.68,2511,269,4.0,0.59,640,94,3.9225,2.847457627118644,72.1,27.9
2,15.93,1.65,2548,264,3.8,0.6,608,96,4.192105263157895,2.75,72.71,27.29
3,15.56,1.97,2489,315,3.94,0.53,630,85,3.949238578680203,3.7169811320754715,72.6,27.4
4,15.96,1.71,2553,274,3.74,0.54,598,87,4.267379679144385,3.1666666666666665,72.12,27.88
5,15.84,1.7,2535,272,3.61,0.8,578,128,4.38781163434903,2.125,73.13,26.87
