fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,15.24,1.96,2439,314,3.68,0.68,589,109,4.141304347826087,2.88235294117647,72.4,27.6
2,14.79,2.24,2367,359,3.94,0.61,631,97,3.7538071065989844,3.672131147540984,70.98,29.02
3,15.18,1.97,2429,315,3.76,0.61,602,97,4.037234042553192,3.2295081967213113,72.17,27.83
4,15.47,1.93,2475,308,3.36,0.78,537,125,4.604166666666667,2.474358974358974,74.1,25.9
5,15.39,1.88,2462,300,3.51,0.76,561,121,4.384615384615385,2.4736842105263155,73.01,26.99
