fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,20.83,2.51,3333,401,5.05,0.88,808,140,4.124752475247525,2.852272727272727,77.18,22.82
2,20.22,3.3,3235,528,5.18,0.63,829,101,3.9034749034749034,5.238095238095238,74.86,25.14
3,21.09,2.42,3375,387,4.76,0.97,762,155,4.430672268907563,2.4948453608247423,76.58,23.42
4,20.57,2.47,3291,395,5.32,0.88,851,140,3.8665413533834583,2.806818181818182,74.75,25.25
5,21.01,2.49,3361,398,4.91,0.84,785,134,4.279022403258656,2.964285714285715,75.55,24.45
