fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,19.47,3.04,3115,487,5.08,0.79,812,126,3.8326771653543306,3.848101265822785,72.97,27.03
2,20.09,2.66,3214,426,4.74,0.78,759,125,4.238396624472574,3.41025641025641,74.5,25.5
3,19.86,2.68,3177,429,4.84,0.97,775,156,4.103305785123967,2.7628865979381447,73.31,26.69
4,20.2,2.62,3232,420,4.47,1.1,716,176,4.519015659955257,2.381818181818182,74.2,25.8
5,19.91,2.58,3185,413,4.84,1.02,774,163,4.113636363636364,2.5294117647058822,74.43,25.57
