fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,20.34,2.86,3254,457,5.14,0.96,823,154,3.9571984435797667,2.9791666666666665,74.31,25.69
2,20.44,2.93,3271,468,4.82,1.14,771,183,4.240663900414938,2.5701754385964914,74.68,25.32
3,20.54,3.02,3287,484,4.91,0.82,785,131,4.183299389002037,3.682926829268293,74.18,25.82
4,20.39,3.18,3263,509,4.86,0.93,778,149,4.195473251028806,3.4193548387096775,74.39,25.61
5,20.39,2.96,3262,473,5.08,0.89,812,142,4.0137795275590555,3.3258426966292136,73.09,26.91
