fold,train_pct_used,train_pct_unused,train_num_used,train_num_unused,test_pct_used,test_pct_unused,test_num_used,test_num_unused,used_ratio,unused_ratio,only_in_train,only_in_test
1,20.57,2.37,3291,379,5.21,0.86,834,137,3.9481765834932823,2.755813953488372,75.63,24.37
2,20.67,2.56,3308,409,5.0,0.88,800,140,4.134,2.909090909090909,75.28,24.72
3,20.68,2.55,3309,408,4.92,0.91,788,145,4.203252032520325,2.802197802197802,75.36,24.64
4,20.59,2.93,3295,468,4.92,0.66,788,106,4.184959349593496,4.4393939393939394,75.85,24.15
5,20.66,2.48,3305,397,5.12,0.77,819,123,4.03515625,3.2207792207792205,75.75,24.25
